Month,Total,Jobs,Available,Unused,Percent
2016-10-01,302611.8,582,580320,277708.2,52.15
2016-11-01,419350.31,24078,561600,142249.69,74.67
2016-12-01,463779.53,21407,580320,116540.46999999997,79.92
2017-01-01,465490.53,7016,580320,114829.46999999997,80.21
2017-02-01,328076.15,11031,524160,196083.84999999998,62.59
2017-03-01,349473.04,11279,580320,230846.96000000002,60.22
2017-04-01,560704.09,6348,699840,139135.91000000003,80.12
2017-05-01,533430.99,21873,955296,421865.01,55.84
2017-06-01,564697.15,5604,924480,359782.85,61.08
2017-07-01,549728.78,20013,955296,405567.22,57.55
2017-08-01,602889.69,45945,955296,352406.31000000006,63.11
2017-09-01,548240.75,31121,924480,376239.25,59.3
